MRR,Date,XcoordGPS,YcoordGPS,ColMethod,variable,NumMoz,relSite
1,2013-10-12T00:00:00Z,-4.47139,11.233322,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.47139,11.23345,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.473088,11.234109,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.473089,11.234105,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.473449,11.233894,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.472851,11.23367,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.47282,11.233604,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.47286,11.233585,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.47288,11.233968,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.472746,11.233617,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.47288,11.233968,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.473237,11.232689,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.473255,11.232586,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.473301,11.232573,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.47331,11.230826,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.473364,11.230744,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.473285,11.230863,Swarm,Male Mark A,1,A
1,2013-10-13T00:00:00Z,-4.472665,11.23024,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.472514,11.230194,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.472338,11.232567,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.472238,11.232476,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.472368,11.23267,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.471982,11.232418,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.471899,11.232395,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.470198,11.231113,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.470268,11.231107,Swarm,Male Mark A,0,A
