X,Y,CompID,Locality,Category,long_dd,lat_dd,X_m,Y_m,Alt_m,Houses_tre,Houses_Are,Nb_houses,Nb_Rooms,NB_bednets,Nb_beds
-4.483788,11.240652000000125,20,Market,Concession,-4.483788,11.240652,338021.361135,1242997.55987,341.871948,0,0,0,0,0,0
-4.483932,11.241508,21,Market,Concession,-4.483932,11.241508,338006.11614,1243092.31863,337.546021,0,0,0,0,0,0
-4.484203,11.241613,22,Market,Concession,-4.484203,11.241613,337976.584849,1243104.08179,340.910645,0,0,0,0,0,0
-4.484159,11.241283,23,Market,Concession,-4.484159,11.241283,337981.204762,1243067.55729,337.546021,0,0,0,0,0,0
-4.484461,11.241177,24,Market,Concession,-4.484461,11.241177,337948.170723,1243055.99954,340.189697,0,0,0,0,0,0
-4.484991,11.241503,25,Market,Concession,-4.484991,11.241503,337890.483216,1243092.34975,340.430054,0,0,0,0,0,0
-4.48557,11.2412700000001,26,Market,Concession,-4.48557,11.24127,337827.133029,1243066.89792,336.584839,0,0,0,0,0,0
-4.485094,11.240629,27,Market,Concession,-4.485094,11.240629,337878.748284,1242995.73625,338.026733,0,0,0,0,0,0
-4.485092,11.240045,28,Market,Concession,-4.485092,11.240045,337878.640229,1242931.14078,337.786377,0,0,0,0,0,0
-4.48448,11.240438,29,Market,Concession,-4.48448,11.240438,337945.683232,1242974.27162,327.452271,0,0,0,0,0,0
-4.484519,11.24091,30,Market,Concession,-4.484519,11.24091,337941.688616,1243026.49953,336.104126,0,0,0,0,0,0
-4.484223,11.240882000000113,31,Market,Concession,-4.484223,11.240882,337973.992698,1243023.23928,338.26709,0,0,0,0,0,0
-4.48402,11.240011,32,Market,Concession,-4.48402,11.240011,337995.671409,1242926.78886,337.305786,0,0,0,0,0,0
